276, 0.235849%
277, 0.2311912%
278, 0.2265624%
279, 0.2219626%
280, 0.2173912%
281, 0.2128482%
282, 0.2083333%
283, 0.2038461%
284, 0.1993864%
285, 0.1949541%
286, 0.1905487%
287, 0.1861701%
288, 0.1818181%
289, 0.1774924%
290, 0.1731927%
291, 0.1689189%
292, 0.1646706%
293, 0.1604477%
294, 0.1562499%
295, 0.1520771%
296, 0.1479289%
297, 0.1438052%
298, 0.1397058%
299, 0.1356304%
300, 0.1315789%
301, 0.1275509%
302, 0.1235464%
303, 0.1195651%
304, 0.1156069%
305, 0.1116714%
306, 0.1077585%
307, 0.1038681%
308, 0.0999999%
309, 0.0961538%
310, 0.0923295%
311, 0.0885268%
312, 0.0847457%
313, 0.0809858%
314, 0.0772471%
315, 0.0735293%
316, 0.0698323%
317, 0.0661559%
318, 0.0624999%
319, 0.0588642%
320, 0.0552485%
321, 0.0516528%
322, 0.0480768%
323, 0.0445205%
324, 0.0409835%
325, 0.0374659%
326, 0.0339673%
327, 0.0304877%
328, 0.0270269%
329, 0.0235848%
330, 0.0201612%
331, 0.0167559%
332, 0.0133689%
333, 0.0099999%
334, 0.0066488%
335, 0.0033156%
336, 0%
336, 0%
